"date","companyId","marketCap","price","change","volume","ticker","name","superSectorId","superSector"
07/06/2017,23,548820000000.00,385.00,-0.21,200,"PEPB34","BS&amp;C",33,"Consumer Goods"
07/06/2017,14,188680000.00,3.46,0.87,29000,"BOBR4","Bombril",33,"Consumer Goods"
07/06/2017,5,2970000000.00,32.82,1.77,477900,"ARZZ3","Arezzo",33,"Consumer Goods"
07/06/2017,131,130190000.00,1.96,0.51,33300,"UCAS3","Unicasa",33,"Consumer Goods"
07/06/2017,136,5140000000.00,3.41,0.29,1400,"WHRL4","Whirlpool",33,"Consumer Goods"
07/06/2017,121,316150000.00,4.06,0.74,29000,"TECN3","Technos",33,"Consumer Goods"
07/06/2017,115,1980000000.00,20.30,0.64,311900,"SLCE3","SLC Agrícola",33,"Consumer Goods"
07/06/2017,96,20420000.00,4.18,-1.67,21400,"PLAS3","Plascar",33,"Consumer Goods"
07/06/2017,98,39410000.00,3.42,-3.51,200,"FRTA3","Pomifrutas",33,"Consumer Goods"
06/06/2017,81,126260000.00,30.75,0.00,5300,"FRIO3","Metalfrio",33,"Consumer Goods"
07/06/2017,83,2800000000.00,11.81,-0.08,1402000,"BEEF3","Minerva",33,"Consumer Goods"
07/06/2017,86,13920000000.00,32.83,-1.46,959700,"NATU3","Natura",33,"Consumer Goods"
30/12/2015,87,0,6.00,0.00,0,"NORD3","Nordon",34,"Industrials"
07/06/2017,82,668970000.00,3.86,0.00,462500,"MILS3","MILLS",34,"Industrials"
07/06/2017,106,1660000000.00,4.89,-0.61,1561400,"RAPT4","Randon",34,"Industrials"
10/03/2017,109,0,8.05,4.47,5671500,"RUMO3","Rumo",34,"Industrials"
05/06/2017,100,0,1.00,0.00,4700,"PSVM11","Porto Sudeste",34,"Industrials"
07/06/2017,103,3010000000.00,8.05,-0.62,328500,"PRML3","Prumo Logística",34,"Industrials"
07/06/2017,123,12250000.00,2.19,-15.53,1257000,"TCNO4","Tecnosolo",34,"Industrials"
07/06/2017,124,939600000.00,13.60,4.78,317000,"TGMA3","Tegma",34,"Industrials"
07/06/2017,134,30480000000.00,18.76,0.75,2738900,"WEGE3","WEG",34,"Industrials"
07/06/2017,25,33840000000.00,16.39,2.20,3797000,"CCRO3","CCR",34,"Industrials"
20/04/2016,33,0,0.12,8.33,5185200,"CTAX4","Contax",34,"Industrials"
07/06/2017,34,2240000000.00,5.96,2.52,107400,"RLOG3","Cosan Logística",34,"Industrials"
07/06/2017,37,369740000.00,8.90,0.67,139600,"CARD3","CSU Cardsystem",34,"Industrials"
07/06/2017,54,114500000.00,1.80,-1.67,58300,"FJTA4","Forjas Taurus",34,"Industrials"
07/06/2017,42,5370000000.00,9.49,1.69,3292700,"ECOR3","Ecorodovias",34,"Industrials"
07/06/2017,69,1410000000.00,6.99,0.14,136000,"JSLG3","JSL",34,"Industrials"
07/06/2017,70,601470000.00,22.41,2.01,7500,"KEPL3","Kepler",34,"Industrials"
07/06/2017,79,1570000000.00,30.65,0.98,69500,"MAGG3","Magnesita",34,"Industrials"
07/06/2017,75,79480000.00,3.69,-2.71,34200,"LOGN3","Log-in",34,"Industrials"
07/06/2017,150,1060000000.00,15.26,-2.03,622000,"VLID3","Valid",34,"Industrials"
07/06/2017,165,54400000.00,31.05,9.50,800,"BDLL4","Bardella",34,"Industrials"
16/06/2016,152,0,10.01,0.00,14200,"ARTR3","Arteris",34,"Industrials"
06/06/2017,153,30780000.00,1.14,0.00,6100,"AZEV4","Azevedo &amp; Travassos",34,"Industrials"
23/11/2015,191,0,0.02,0.00,0,"CCHI4","Chiarelli",34,"Industrials"
01/03/2017,197,0,0.01,0.00,960000,"CBMA4","Cobrasma",34,"Industrials"
22/11/2016,201,0,3.50,0.00,8900,"IMBI4","Docas de Imbituba",34,"Industrials"
24/01/2013,203,0,0.55,0.00,0,"COBE3B","Beter",34,"Industrials"
01/03/2017,204,0,0.43,0.00,8800,"SULT4","Sultepa",34,"Industrials"
07/06/2017,223,5810000000.00,8.20,2.80,1223400,"DTEX3","Duratex",34,"Industrials"
07/06/2017,228,11770000000.00,15.87,0.82,3130100,"EMBR3","Embraer",34,"Industrials"
07/06/2017,305,535690000.00,3.33,1.50,472900,"PTBL3","PORTOBELLO",34,"Industrials"
07/06/2017,308,28960000.00,0.77,-1.30,662000,"RCSL4","Recrusul",34,"Industrials"
07/06/2017,278,2480000000.00,2.67,0.75,2386000,"POMO4","Marcopolo",34,"Industrials"
25/05/2017,281,0,5.60,0.00,100,"MEND6","Mendes Junior",34,"Industrials"
01/06/2017,269,20990000.00,1.75,0.00,12200,"LIXC4","Lix da Cunha",34,"Industrials"
07/06/2017,233,207570000.00,1.16,0.00,228500,"ETER3","Eternit",34,"Industrials"
07/06/2017,234,276410000.00,3.02,-0.66,28200,"EUCA4","Eucatex",34,"Industrials"
21/03/2017,252,7230000.00,30.00,0.00,100,"MTIG4","Met Iguaçu",34,"Industrials"
07/06/2017,253,34330000.00,4.60,0.00,2300,"INEP4","Inepar",34,"Industrials"
21/11/2016,238,0,1.50,0.00,1000000,"VSPT3","Ferrovia Centro Atlântica",34,"Industrials"
12/04/2017,324,43790000.00,18.02,0.00,300,"SOND6","Sondotecnica",34,"Industrials"
07/06/2017,313,229430000.00,3.70,-1.35,20800,"ROMI3","Romi",34,"Industrials"
06/06/2017,344,2580000000.00,36.30,0.00,66100,"WSON33","Wilson Sons",34,"Industrials"
07/06/2017,335,475410000.00,2.82,-2.84,432600,"TPIS3","TRIUNFO",34,"Industrials"
18/05/2017,331,109040000.00,37.00,0.00,100,"TKNO4","Tekno",34,"Industrials"
08/03/2017,337,73680000.00,8.95,5.40,100,"LUXM4","Trevisa",34,"Industrials"
07/06/2017,332,330330000.00,28.05,-0.57,9400,"TELB4","Telebrás",35,"Telecommunications"
07/06/2017,333,79370000000.00,46.64,0.77,2259100,"VIVT4","VIVO",35,"Telecommunications"
07/06/2017,125,23480000000.00,9.79,-0.92,5921500,"TIMP3","Tempo Participações",37,"Financials"
29/05/2017,266,128340000.00,2.36,0.00,500,"LFFE4","Jereissati Telecom",35,"Telecommunications"
